major,requiredClasses
Human Services BS,"['PSYC 100 General Psychology', 'SOC 101 Introduction to Sociology', 'HSER 002 Background Check Workshop', 'HSCD 300 Introduction to Substance Use Disorders ', 'HSER 346 Counseling and Interviewing Skills', 'HSER 348 Group Counseling', 'HSER 351 Crisis Intervention/Caring for Trauma through the Lifecourse', 'HSER 353 Human Services Case Planning and Methods', 'HSER 355 Introduction to Human Services:  History and Trends', 'HSER 395 Intersection of Race and Diversity in Human Services', 'HSER 455 Human Services Capstone Seminar', 'HSA 369 Program Evaluation', 'HSER 368 Understanding and Using Research for the Practitioner', 'HSVP 300 Violence:  Origins and Explanations', 'HSVP 301 Violence:  Individual, Community and Global Responses', 'HSVP 302 Advocacy in Violence Prevention', 'HSVP 307 Gender Violence in Global Perspective', 'HSVP 308 Family Violence Across the Lifespan', 'HSVP 309 Violence and Disability', 'HSCO 321 Juvenile Offending Prevention and Intervention', 'HSER 303 Disability Awareness', 'HSDS 304 Introduction to Disabilities', 'HSDS 305 Disability Rights: History and Current Trends', 'HSDS 306 Community Resources and Services for Persons with Disabilities', 'HSDS 307 Blind, Deaf Blind, and Deaf Culture, History and Resources', 'HSDS 308 Aging and Disabilities', 'HSDS 399 The Disability Experience in Television and Film', 'HSVP 309 Violence and Disability', 'HSG 374 Aging in America:  A Personal Challenge', 'HSG 376 Mental Health and Aging', 'HSG 377 Physical Health and Aging', 'HSG 380 Aging:  Planning and Policy Making', 'HSG 383 Selected Topics in Gerontology', 'HSG 384 Civic Engagement in Later Life', 'HSCD 301 Substance Use and the Family', 'HSER 352 Family Counseling', 'HSFS 343 The Family:  A Social/Psychological Exploration', 'HSFS 338 Family:  Racial, Gender and Class Dimensions', 'HSFS 339 Issues and Actions in Family Policy', 'HSFS 341 Work and Family', 'HSFS 342 Children in U.S. Society', 'HSVP 308 Family Violence Across the Lifespan', 'HSA 362 Human Services Administration', 'HSA 363 Program Planning, Budgeting, Proposal Writing and Funding', 'HSA 370 Supervision in Human Services', 'HSER 325 Working with/in Community', 'HSER 350 Issues in Adolescent Counseling', 'HSER 354 Ethical Issues in Human Services', 'HSER 415 Spirituality and Helping', 'HSTD 389 Organizational Development and Change', 'HSTD 390 Conflict Resolution', 'HSTD 393 Organizational Training and Staff Development', 'HSER 331 Human Services Group Practicum and Seminar', 'HSER 320 Human Services Pre-Practicum Group Seminar']"
Human Services Family Studies BHS,"['PSYC 100 General Psychology', 'SOC 101 Introduction to Sociology', 'HSER 002 Background Check Workshop', 'HSER 355 Introduction to Human Services:  History and Trends', 'HSER 346 Counseling and Interviewing Skills', 'HSER 368 Understanding and Using Research for the Practitioner', 'HSER 395 Intersection of Race and Diversity in Human Services', 'HSER 455 Human Services Capstone Seminar', 'HSER 325 Working with/in Community', 'HSER 353 Human Services Case Planning and Methods', 'HSER 352 Family Counseling', 'HSER 415 Spirituality and Helping', 'HSFS 343 The Family:  A Social/Psychological Exploration', 'HSCD 301 Substance Use and the Family', 'HSFS 339 Issues and Actions in Family Policy', 'HSFS 338 Family:  Racial, Gender and Class Dimensions', 'HSFS 341 Work and Family', 'HSFS 342 Children in U.S. Society', 'HSFS 370 Sexuality and the Family', 'HSG 374 Aging in America:  A Personal Challenge', 'HSVP 308 Family Violence Across the Lifespan', 'HSER 320 Human Services Pre-Practicum Group Seminar', 'HSER 331 Human Services Group Practicum and Seminar']"
Human Services Leadership and Administration BHS,"['PSYC 100 General Psychology', 'SOC 101 Introduction to Sociology', 'HSER 002 Background Check Workshop', 'HSER 355 Introduction to Human Services:  History and Trends', 'HSER 353 Human Services Case Planning and Methods', 'HSER 346 Counseling and Interviewing Skills', 'HSER 395 Intersection of Race and Diversity in Human Services', 'HSER 455 Human Services Capstone Seminar', 'HSA 362 Human Services Administration', 'HSA 363 Program Planning, Budgeting, Proposal Writing and Funding', 'HSA 369 Program Evaluation', 'HSA 370 Supervision in Human Services', 'HSER 354 Ethical Issues in Human Services', 'HSTD 389 Organizational Development and Change', 'HSTD 390 Conflict Resolution', 'HSTD 393 Organizational Training and Staff Development', 'HSER 320 Human Services Pre-Practicum Group Seminar', 'HSER 331 Human Services Group Practicum and Seminar']"
Humanities Minor,"['HUM 309 Ancient and Medieval Monsters', 'HUM 310 The First Civilizations', 'HUM 311 The Classical World:  Greece', 'HUM 312 The Classical World:  Rome', 'HUM 313 Medieval Civilization', 'HUM 314 The Renaissance', 'HUM 315 The Enlightenment', 'HUM 316 Romanticism', 'HUM 317 Modernism', 'HUM 318 Postmodernism', 'HUM 321 Myth', 'HUM 326 Folklore', 'HUM 327 Convivencia:  Jewish, Christian, and Islamic Arts in Medieval Spain', 'HUM 333 The Photo and the Other', 'HUM 360I Humanities Student Designed Independent Studies', 'HUM 364 The Harlem Renaissance', 'HUM 390 Special Topics in Humanities']"
Individualized Studies BA,"['PRSP 301 Perspectives:  Educational Philosophy and Planning', 'PRSP 499 Capstone', 'PRSP 302T Self-Directed Learning Theory Seminar', 'METR 100 Getting Credit for What You Know', 'METR 101 Your Academic Journey', 'METR 110 Reinventing Your Career: Theory and Practice', 'PRSP 002 College of Individualized Studies Degree Plan Updating Workshop', 'PRSP 310 Interdisciplinary Conversations ', 'IDST 310 Principles of Civic Engagement', 'IDST 317 Women in Minnesota Life:  Education, Politics and Social Change', 'IDST 321 Human Rights and the Educated Citizen', 'IDST 323 Chautauqua: Sense of Place', 'IDST 325 Perspectives\xa0on\xa0Peace:\xa0', 'IDST 327 Mapping Judaism, Christianity, and Islam', 'IDST 330 Women in Math, Science and Technology', 'IDST 343 Perspectives on Community Development', 'IDST 370 Cinema, Self and Other', 'IDST 371 American Legal System, Reasoning and Writing', 'IDST 380 Adult Learning and Social Change', 'IDST 385 Turning Points: Self-Transformation', 'IDST 490 Exploring Interdisciplinary Projects']"
Industrial & Applied Mathematics BS,"['ICS 140 Computational Thinking with Programming', 'STAT 201 Statistics I', 'MATH 210 Calculus I', 'MATH 215 Discrete Mathematics', 'ICS 141 Programming with Objects', 'STAT 311 Regression Analysis', 'MATH 211 Calculus II', 'MATH 230 Introduction to Mathematical Modeling', 'MATH 310 Calculus III:  Multivariable Calculus', 'MATH 315 Linear Algebra and Applications', 'MATH 320 Probability', 'MATH 330 Optimization', 'MATH 355 Introduction to Stochastic Processes', 'MATH 420 Numerical Analysis', 'MATH 430 Advanced Mathematical Modeling', 'DATA 211 Data Science and Visualization', 'STAT 252 Statistics Programming', 'MATH 301 Introduction to Analysis', 'MATH 350 Ordinary Differential Equations', 'MATH 375 Complex Variables', 'MATH 405 Partial Differential Equations', 'MATH 471 Abstract Algebra', 'STAT 301 Analysis of Variance and Multivariate Analysis', 'STAT 321 Biostatistics', 'STAT 331 Nonparametric Statistical Methods', 'STAT 341 Analysis of Categorical Data', 'STAT 353 Environmental Statistics', 'STAT 411 Time Series Analysis and Forecasting', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'PHYS 351 Thermodynamics', 'PHYS 355 Modern Physics', 'PHYS 357 Modern Physics Lab  ', 'ICS 311 Database Management Systems', 'ICS 340 Algorithms and Data Structures  ', 'ICS 365 Organization of Programming Languages', 'ICS 372 Object-Oriented Design and Implementation', 'ICS 411 Big Data Storage and Processing', 'ICS 440 Parallel and Distributed Algorithms', 'ICS 460 Networks and Security ', 'ICS 462 Operating Systems', 'FIN 390 Principles of Finance', 'MIS 380 Business Intelligence and Analytics ', 'MIS 480 Predictive Analytics', 'STAT 480 Statistical Consulting', 'MATH 499 Mathematics Capstone', 'STAT 350I Statistics Internship', 'MATH 350I Mathematics Internship']"
Industrial & Applied Mathematics Minor,"['STAT 201 Statistics I', 'MATH 210 Calculus I', 'MATH 211 Calculus II', 'MATH 230 Introduction to Mathematical Modeling', 'DATA 211 Data Science and Visualization', 'STAT 252 Statistics Programming', 'MATH 215 Discrete Mathematics', 'MATH 310 Calculus III:  Multivariable Calculus', 'MATH 315 Linear Algebra and Applications', 'MATH 320 Probability', 'MATH 350 Ordinary Differential Equations', 'STAT 301 Analysis of Variance and Multivariate Analysis', 'STAT 311 Regression Analysis', 'STAT 321 Biostatistics', 'STAT 331 Nonparametric Statistical Methods', 'STAT 341 Analysis of Categorical Data', 'STAT 353 Environmental Statistics', 'STAT 411 Time Series Analysis and Forecasting']"
Industrial and Organizational Psychology Minor,"['PSYC 100 General Psychology', 'PSYC 344 Industrial-Organizational Psychology', 'PSYC 317 Human Factors', 'PSYC 327 Psychological Testing', 'PSYC 303 Artificial Intelligence', 'PSYC 307 Data/Statistical Analysis for the Behavioral Sciences', 'STAT 201 Statistics I', 'PSYC 314 Group Dynamics and Facilitation', 'PSYC 319 The Impact of Technology on Human and Organizational Behavior', 'PSYC 212 Introduction to Diversity and Ethics in Psychology', 'PSYC 107 Career Planning and Development', 'PSYC 360 Friday Forum Topics', 'PSYC 323 The Nature of Creativity:  A Psychological Perspective']"
Information Assurance and Information Technology Security GCERT,"['MIS 600 Management Information Systems', 'MIS 683 Process Analysis and Design', 'MIS 675 Risk Analysis in Information Technology', 'MIS 680 Introduction to Information Assurance', 'MIS 681 Enterprise Security Management', 'MIS 682 Analysis of Strategic and Tactical Security IT Planning']"
Information Assurance BAS,"['PSYC 303 Artificial Intelligence', 'PSYC 317 Human Factors', 'PSYC 319 The Impact of Technology on Human and Organizational Behavior', 'MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ACCT 210 Financial Accounting', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MIS 320 Information Systems Analysis and Design', 'MIS 335 Management and Use of Databases', 'MIS 412 Administration of the Management Information Systems Function', 'MIS 450 MIS Auditing and Security Controls', 'MIS 462 Management of Distributed Computing', 'MKTG 455 Logistics in Supply Chain', 'MIS 467 Telecommunications and Internet Management', 'MIS 498 Telecommunications Economics and Policy']"
International Business BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'IBUS 311 International Business Environment and Operations', 'IBUS 312 International Political Economy', 'IBUS 350 Legal Aspects of International Business', 'ECON 314 International and Comparative Economics', 'ECON 317 Global Economic and Financial Crises: Theory and Policy', 'MKTG 480 International Marketing', 'FIN 550 International Finance', 'HRM 585 International Human Resource Management', 'IBUS 490 Doing Business Internationally', 'MGMT 499 Case Studies in Strategic Management']"
International Business Minor,"['ENTR 300 Interdisciplinary Business Skills and Knowledge for Non-Business Majors', 'IBUS 311 International Business Environment and Operations', 'IBUS 312 International Political Economy', 'IBUS 350 Legal Aspects of International Business', 'ECON 314 International and Comparative Economics', 'ECON 317 Global Economic and Financial Crises: Theory and Policy', 'FIN 550 International Finance', 'HRM 585 International Human Resource Management', 'MKTG 480 International Marketing', 'IBUS 490 Doing Business Internationally']"
Law Enforcement BS Track 1,"['CJS 101 Introduction to Criminal Justice', 'CJS 201 Foundations in Criminal Justice', 'LAWE 210 Procedural Studies in Law Enforcement', 'LAWE 210L Procedural Studies in Law Enforcement Lab', 'LAWE 220 Legal Studies in Law Enforcement ', 'LAWE 280 Juvenile Justice', 'CJS 301 Research Methods in Criminal Justice', 'LAWE 301 Policing in the 21st Century', 'LAWE 301L Policing in the 21st Century Lab', 'CJS 320 Criminology and Public Policy', 'LAWE 321 Law and Human Behavior ', 'LAWE 321L Law and Human Behavior Lab', 'CJS 360 Diversity in Criminal Justice', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'CJS 350 Citizenship:  Community Involvement', 'CJS 354 Restorative Justice', 'CJS 489 Criminal Justice Capstone Internship', 'CJS 490 Criminal Justice Capstone Research', 'LAWE 050 Emergency Vehicle Operations', 'LAWE 224 Crimes in Progress', 'LAWE 227 Traffic and Investigations', 'LAWE 228 Defensive Tactics', 'LAWE 229 Firearms', 'CJS 305 The Criminal Court System', 'CJS 310 Introduction to Security Management', 'CJS 315 Sexual Violence and Child Exploitation', 'CJS 318 Women and Crime', 'CJS 325 Inside-Out:  Prison Exchange Program', 'CJS 333 Gangs', 'CJS 335 Homicide Studies', 'CJS 340 Comparative Criminal Justice', 'CJS 344 Terrorism and Counterterrorism', 'CJS 345 Organization and Administration in Criminal Justice', 'CJS 346 Victimology', 'CJS 350 Citizenship:  Community Involvement', 'CJS 354 Restorative Justice', 'CJS 356 Violence in America', 'CJS 358 Community Building for Criminal Justice', 'CJS 365 Media in Criminal Justice: Fake News and High Drama', 'CJS 366 The U.S. Intelligence Community', 'CJS 377 Criminal Justice Practicum', 'CJS 382 Topics in Criminal Justice:', 'CJS 387 White Collar Crime', 'CJS 465 Criminal Justice Response to the Mentally Ill and Other Special Populations', 'LAWE 280 Juvenile Justice', 'LAWE 312 Emergency Management for Law Enforcement', 'LAWE 329 Technology and Modern Policing ', 'LAWE 339 Violent Crime Investigation', 'LAWE 367 Exploring Forensic Science', 'LAWE 388 Crime Analysis', 'LAWE 431 Police Culture', 'LAWE 445 Law Enforcement Leadership:  Contemporary Issues']"
Law Enforcement BS Track 2,"['CJS 201 Foundations in Criminal Justice', 'CJS 301 Research Methods in Criminal Justice', 'CJS 320 Criminology and Public Policy', 'CJS 360 Diversity in Criminal Justice', 'CJS 350 Citizenship:  Community Involvement', 'CJS 354 Restorative Justice', 'CJS 489 Criminal Justice Capstone Internship', 'CJS 490 Criminal Justice Capstone Research', 'LAWE 431 Police Culture', 'LAWE 445 Law Enforcement Leadership:  Contemporary Issues', 'LAWE 104 Emergency Medical Responder Law Enforcement', 'LAWE 312 Emergency Management for Law Enforcement', 'LAWE 329 Technology and Modern Policing ', 'LAWE 330 Policing and Society', 'LAWE 339 Violent Crime Investigation', 'LAWE 367 Exploring Forensic Science', 'LAWE 388 Crime Analysis']"
Law Enforcement BS: Major for Licensed Peace Officers Track 3 ,"['CJS 201 Foundations in Criminal Justice', 'CJS 301 Research Methods in Criminal Justice', 'CJS 320 Criminology and Public Policy', 'CJS 360 Diversity in Criminal Justice', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'LAWE 431 Police Culture', 'LAWE 445 Law Enforcement Leadership:  Contemporary Issues', 'CJS 489 Criminal Justice Capstone Internship', 'CJS 490 Criminal Justice Capstone Research']"
Law Enforcement Licensing Certificate UCERT,"['CJS 101 Introduction to Criminal Justice', 'LAWE 280 Juvenile Justice', 'LAWE 210 Procedural Studies in Law Enforcement', 'LAWE 210L Procedural Studies in Law Enforcement Lab', 'LAWE 220 Legal Studies in Law Enforcement ', 'LAWE 301 Policing in the 21st Century', 'LAWE 301L Policing in the 21st Century Lab', 'LAWE 321 Law and Human Behavior ', 'LAWE 321L Law and Human Behavior Lab', 'CJS 375 Ethics and Professionalism in Criminal Justice', 'LAWE 050 Emergency Vehicle Operations', 'LAWE 224 Crimes in Progress', 'LAWE 227 Traffic and Investigations', 'LAWE 228 Defensive Tactics', 'LAWE 229 Firearms']"
Liberal Arts BA,[]
Liberal Studies MA,"['MLS 600 Introductory Seminar', 'MLS 620 Master of Liberal Studies Explorations', 'MLS 620 Master of Liberal Studies Explorations', 'MLS 620 Master of Liberal Studies Explorations', 'MLS 690 Master of Liberal Studies Capstone Course']"
Life Sciences Teaching BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'BIOL 111 General Biology I', 'BIOL 112 General Biology II', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'GEOL 110 Introduction to Earth Sciences', 'BIOL 211 Principles of Genetics', 'STAT 201 Statistics I', 'PHYS 110 Introduction to Physics', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'BIOL 302 Cell Biology and Histology', 'BIOL 304 Molecular Biology', 'BIOL 310 Ecology', 'BIOL 312 Evolution', 'ESCI 315 Limnology', 'BIOL 311 Plant Physiology', 'BIOL 322 Comparative Animal Physiology', 'BIOL 330 Biology of Microorganisms', 'SCED 450 Science Methods for Urban Grades 5-12 Classrooms and Lab']"
Management BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'MGMT 320 Organizational Behavior', 'MGMT 340 Managing Quality', 'MGMT 360 Managing a Diverse Workforce', 'ACCT 320 Strategic Management Accounting', 'BLAW 320 Legal Environment of Organizations', 'HRM 310 Human Resource Management:  A Strategic Framework', 'DSCI 420 Project Management', 'MGMT 499 Case Studies in Strategic Management']"
Management Information Systems BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'MIS 320 Information Systems Analysis and Design', 'MIS 328 Applications Development I', 'MIS 335 Management and Use of Databases', 'MIS 467 Telecommunications and Internet Management', 'MIS 329 Applications Development II', 'MIS 370 Retail Information Systems', 'MIS 380 Business Intelligence and Analytics ', 'MIS 450 MIS Auditing and Security Controls', 'MIS 456 Supply Chain Information Systems', 'MIS 459 ERP Systems ', 'MIS 462 Management of Distributed Computing', 'MIS 463 Strategic Management of Technology and Innovation', 'MIS 480 Predictive Analytics', 'MIS 498 Telecommunications Economics and Policy', 'MIS 533 Special Topics:  Emerging Technologies', 'MIS 412 Administration of the Management Information Systems Function', 'MIS 499 MIS Capstone', 'MGMT 499 Case Studies in Strategic Management']"
Management Information Systems Generalist GCERT,"['MIS 600 Management Information Systems', 'MIS 675 Risk Analysis in Information Technology', 'MIS 662 Management of Distributed Computing', 'MIS 663 Strategic Management of Technology and Innovation', 'MIS 671 Problem Formulation and Data Presentation', 'DSCI 620 Project Management']"
Management Information Systems Minor,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MIS 310 Principles of Management Information Systems', 'MIS 320 Information Systems Analysis and Design', 'MIS 335 Management and Use of Databases', 'ACCT 340 Accounting Information Systems', 'MIS 328 Applications Development I', 'MIS 329 Applications Development II', 'MIS 350I Management Information Systems Individual Internship', 'MIS 370 Retail Information Systems', 'MIS 380 Business Intelligence and Analytics ', 'MIS 450 MIS Auditing and Security Controls', 'MIS 456 Supply Chain Information Systems', 'MIS 459 ERP Systems ', 'MIS 462 Management of Distributed Computing', 'MIS 463 Strategic Management of Technology and Innovation', 'MIS 467 Telecommunications and Internet Management', 'MIS 498 Telecommunications Economics and Policy', 'MIS 533 Special Topics:  Emerging Technologies']"
Marketing BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'MKTG 310 Consumer and Professional Buyer Behavior', 'MKTG 343 Integrated Marketing Communications', 'MKTG 420 Marketing Research', 'MKTG 480 International Marketing', 'MKTG 490 Issues in Marketing', 'BLAW 430 Marketing and Advertising Law', 'ENTR 495 Developing New Products and Services', 'MGMT 499 Case Studies in Strategic Management']"
Master of Arts and Master of Science in Individualized Studies,"['IDST 600 Research and Planning', 'IDST 699 Individualized Studies Capstone', 'IDST 680 Research Methodologies and Research Ethics']"
Master of Nonprofit Leadership and Management MNLM,"['MPNA 600 Practical Research for Public Administration and Non-profit Management', 'NPM 600 Nonprofit Governance and Management', 'MPNA 620 Leading Public Service Organizations', 'MPNA 635 Economic Reasoning for Public Administrators and Nonprofit Managers', 'MPNA 660 Strategic Human Resources Management:  Public and Nonprofit', 'MPNA 680 Information Management, Evaluation, and Public Accountability', 'MPNA 690 Public Ethics and the Common Good', 'NPM 650 Resource Development and Strategic Communications', 'NPM 675 Nonprofit Financial Management', 'MPNA 695 Capstone in Community Oriented Management']"
Master of Public Administration MPA,"['MPNA 600 Practical Research for Public Administration and Non-profit Management', 'PADM 600 Public Administration Foundations', 'MPNA 620 Leading Public Service Organizations', 'MPNA 635 Economic Reasoning for Public Administrators and Nonprofit Managers', 'MPNA 660 Strategic Human Resources Management:  Public and Nonprofit', 'MPNA 680 Information Management, Evaluation, and Public Accountability', 'MPNA 690 Public Ethics and the Common Good', 'PADM 650 Public Policy Analysis', 'PADM 675 Public Finance', 'MPNA 695 Capstone in Community Oriented Management']"
Master of Public and Nonprofit Administration MPNA,"['MPNA 600 Practical Research for Public Administration and Non-profit Management', 'PADM 600 Public Administration Foundations', 'NPM 600 Nonprofit Governance and Management', 'MPNA 620 Leading Public Service Organizations', 'MPNA 635 Economic Reasoning for Public Administrators and Nonprofit Managers', 'MPNA 660 Strategic Human Resources Management:  Public and Nonprofit', 'MPNA 680 Information Management, Evaluation, and Public Accountability', 'MPNA 690 Public Ethics and the Common Good', 'NPM 650 Resource Development and Strategic Communications', 'PADM 650 Public Policy Analysis', 'NPM 675 Nonprofit Financial Management', 'PADM 675 Public Finance', 'MPNA 699 Topics in Public Administration and Nonprofit Management', 'MPNA 695 Capstone in Community Oriented Management']"
Master of Science in Management Information Systems MS in MIS,"['MATH 115 College Algebra', 'STAT 201 Statistics I', 'ICS 141 Programming with Objects', 'MIS 328 Applications Development I', 'MIS 600 Management Information Systems', 'MKTG 600 Marketing Management', 'MIS 671 Problem Formulation and Data Presentation', 'DSCI 620 Project Management', 'MIS 683 Process Analysis and Design', 'MIS 685 Data Mining Tools', 'MIS 687 Business Analytics', 'MIS 688 Predictive Analytics', 'MIS 686 Advanced Data Mining Tools', 'MIS 693 Advanced Supply Chain Information Systems', 'MIS 653 Supply Chain Information Systems', 'MIS 657 Database and Client/Server Systems', 'MIS 658 Advanced Database Administration', 'MIS 680 Introduction to Information Assurance', 'MIS 685 Data Mining Tools', 'MGMT 620 Organizational Behavior and Leadership', 'MIS 653 Supply Chain Information Systems', 'MIS 673 Knowledge Management', 'MIS 685 Data Mining Tools', 'MIS 675 Risk Analysis in Information Technology', 'MIS 680 Introduction to Information Assurance', 'MIS 681 Enterprise Security Management', 'MIS 682 Analysis of Strategic and Tactical Security IT Planning', 'MIS 665 Systems Design and Decision Support', 'MIS 662 Management of Distributed Computing', 'MIS 667 Telecommunications and Internet Management', 'MIS 643 Telecommunications and Internet Management - Part One', 'MIS 657 Database and Client/Server Systems', 'MIS 657 Database and Client/Server Systems', 'MIS 660 Advanced IT Management, Planning and Systems Delivery', 'MIS 662 Management of Distributed Computing', 'MIS 665 Systems Design and Decision Support', 'MIS 699 Integrative Capstone Project']"
Mathematics BA,"['MATH 210 Calculus I', 'MATH 215 Discrete Mathematics', 'ICS 140 Computational Thinking with Programming', 'STAT 201 Statistics I', 'MATH 211 Calculus II', 'MATH 301 Introduction to Analysis', 'MATH 310 Calculus III:  Multivariable Calculus', 'MATH 315 Linear Algebra and Applications', 'MATH 320 Probability', 'MATH 350 Ordinary Differential Equations', 'MATH 471 Abstract Algebra', 'MATH 499 Mathematics Capstone', 'DATA 211 Data Science and Visualization', 'PHYS 211 Calculus Based Physics I', 'MATH 230 Introduction to Mathematical Modeling', 'MATH 330 Optimization', 'MATH 355 Introduction to Stochastic Processes', 'MATH 370 Modern Geometry', 'MATH 375 Complex Variables', 'MATH 405 Partial Differential Equations', 'MATH 420 Numerical Analysis', 'MATH 430 Advanced Mathematical Modeling']"
Mathematics GCERT,"['MATH 605 Analysis and Fractals', 'MATH 615 Advanced Discrete Mathematics', 'MATH 620 Stochastic Processes', 'MATH 625 Graph Theory', 'STAT 621 Advanced Biostatistics in Health Research']"
Mathematics Teaching BS,"['STAT 201 Statistics I', 'MATH 210 Calculus I', 'MATH 211 Calculus II', 'MATH 215 Discrete Mathematics', 'MATH 230 Introduction to Mathematical Modeling', 'MATH 301 Introduction to Analysis', 'MATH 310 Calculus III:  Multivariable Calculus', 'MATH 315 Linear Algebra and Applications', 'MATH 330 Optimization', 'MATH 370 Modern Geometry', 'MATH 380 Preparing for MN Licensure Content Exam', 'MATH 471 Abstract Algebra', 'MAED 450 Teaching Mathematics to Urban Learners in Grades 5-12']"
Media Literacy Minor,"['MDST 361 Visual Communication', 'MDST 363 Children, Adolescents and the Media', 'INFS 315 Searching for Information', 'INFS 338 The Craft and Commerce of Book Publishing', 'INFS 340 Research in Special Collections and Archives', 'MDST 370 Contemporary Cinema', 'MDST 371 American Film:  Tradition and Trends', 'MDST 378 World Cinema', 'MDST 381 Video Game Culture', 'MDST 487 Podcasting: Writing and Producing for Audio/Radio', 'MDST 520 Digital Storytelling', 'MDST 560 Writing for Television Comedy', 'MDST 561 Advanced Television Writing ', 'MDST 580 Issues in Communication Technology', 'SCRW 383 Writing For Video Games']"
Media Studies,"['COMM 103 Public Speaking', 'COMM 103P Public Speaking Proficiency Test', 'INFS 315 Searching for Information', 'COMM 333 Intermediate Intercultural Communication', 'MDST 361 Visual Communication', 'MDST 363 Children, Adolescents and the Media', 'MDST 364 Indigenous Storytelling and New Media', 'MDST 375 Women in Film', 'MDST 378 World Cinema', 'MDST 381 Video Game Culture', 'MDST 490 Big Data and the Connected Citizen', 'MDST 484 Social Media in the Enterprise', 'MDST 485 Communicating with New Media ', 'MDST 487 Podcasting: Writing and Producing for Audio/Radio', 'MDST 520 Digital Storytelling', 'MDST 560 Writing for Television Comedy', 'SCRW 383 Writing For Video Games', 'MDST 580 Issues in Communication Technology', 'WRIT 010 SCWA Internship Workshop', 'COMM 351 Communication in Work Groups', 'SCRW 313 Beginning Screenwriting', 'SCRW 315 Film Production and Editing I', 'WRIT 357 Writers as Readers', 'WRIT 371 Editing']"
Mental Health Psychology Minor,"['PSYC 100 General Psychology', 'PSYC 300 Abnormal Psychology', 'PSYC 212 Introduction to Diversity and Ethics in Psychology', 'PSYC 305 Behavior Disorders in Children', 'PSYC 313 Family Systems', 'PSYC 327 Psychological Testing', 'PSYC 330 Psychology of Learning:  Contemporary Theories and Applications', 'PSYC 343 Drugs and Behavior:  An Introduction to Behavioral Pharmacology', 'PSYC 345 Biopsychology', 'PSYC 346 Health Psychology', 'PSYC 347 Positive Psychology', 'PSYC 360 Friday Forum Topics', 'PSYC 390 Developmental Disabilities: Issues, Assessment and Intervention', 'PSYC 400 Advanced Abnormal Psychology', 'PSYC 402 Preventive Psychology', 'PSYC 406 Introduction to Clinical Psychology', 'PSYC 508 Mental Health and the Law']"
